pairID:TEXT,Actual,Predicted
142056,0,0
47850,0,0
60140,0,0
76528,0,0
160498,0,0
246516,0,0
49913,0,0
88826,0,0
207611,0,0
223996,0,0
189181,0,0
244482,0,0
121604,0,0
97030,0,0
62219,0,0
221964,0,0
39695,0,0
43793,0,0
226073,0,0
35616,0,0
113456,0,0
23333,0,0
187178,0,0
84784,0,0
215859,0,0
234306,0,0
136006,0,0
136008,0,0
76619,0,0
217938,0,0
80729,0,0
196069,0,0
111460,0,0
138087,0,0
138088,0,0
232297,0,0
256877,1,1
201585,0,0
210068,0,0
91002,0,0
70526,0,0
258944,0,0
78725,0,0
228231,0,0
140171,0,0
166798,0,0
101273,0,0
172186,0,0
33694,0,0
201633,0,0
58281,0,0
111530,0,0
256498,1,1
7087,0,0
211888,1,1
15282,0,0
152502,0,0
33720,0,0
200522,0,0
162754,0,0
209860,0,0
236486,0,0
148423,0,0
179146,0,0
203728,0,0
19422,0,0
91115,0,0
263150,0,0
111607,0,0
3064,0,0
185340,0,0
66564,0,0
27660,0,0
39955,0,0
201749,0,0
134166,0,0
66585,0,0
115742,0,0
115744,0,0
64552,0,0
238637,0,0
5170,0,0
11315,0,0
259126,0,0
224095,0,0
216125,0,0
169025,0,0
97349,0,0
146505,0,0
121932,0,0
242770,0,0
15450,0,0
205916,0,0
71866,0,0
111713,0,0
164963,0,0
9063,0,0
154733,0,0
181437,0,0
217960,0,0
140405,0,0
212087,1,1
109690,0,0
17553,0,0
167060,0,0
111770,0,0
79005,0,0
195748,0,0
261292,0,0
31920,0,0
70834,0,0
106698,0,0
216256,0,0
183489,0,0
163011,0,0
76996,0,0
48326,0,0
62666,0,0
208079,0,0
251092,0,0
1242,0,0
17629,0,0
107745,0,0
1254,0,0
81135,0,0
167156,0,0
171258,0,0
251775,0,0
257276,0,0
214269,0,0
218367,0,0
111877,0,0
158982,0,0
173319,0,0
234770,0,0
134423,0,0
91418,0,0
167195,0,0
264410,0,0
70943,0,0
257312,0,0
212264,1,1
107818,0,0
132413,0,0
126177,0,0
175432,0,0
99895,0,0
261454,0,0
258616,0,0
254862,0,0
15705,0,0
32096,0,0
48487,0,0
187753,0,0
207422,0,0
30071,0,0
66941,0,0
198016,0,0
42377,1,1
71052,0,0
1422,0,0
34192,0,0
144785,0,0
5522,0,0
165267,0,0
152983,0,0
206234,0,0
44448,0,0
218539,0,0
214445,0,0
183730,0,0
258919,0,0
126390,0,0
24023,0,0
212449,0,0
191971,0,0
146917,0,0
173556,1,1
5621,0,0
118265,0,0
199594,0,0
144904,0,0
224784,0,0
136723,0,0
118294,0,0
120343,0,0
140836,0,0
58630,0,0
108070,0,0
1575,0,0
228956,0,0
48683,0,0
206380,0,0
128557,0,0
249395,0,0
36407,0,0
190009,0,0
144959,0,0
208449,0,0
30283,0,0
110156,0,0
259661,0,0
214610,0,0
1620,0,0
106069,0,0
15962,0,0
159324,0,0
151135,0,0
253538,0,0
190052,0,0
227146,0,0
239214,0,0
38519,0,0
38525,0,0
190078,0,0
173703,0,0
116361,0,0
130699,0,0
179852,0,0
32397,0,0
93838,0,0
255632,0,0
212637,0,0
151201,0,0
145060,0,0
59045,0,0
112299,1,1
196268,0,0
183984,0,0
73395,0,0
186037,1,1
136888,1,1
57019,0,0
244682,0,0
108226,0,0
83651,0,0
194245,0,0
234103,0,0
128717,0,0
77520,0,0
65237,0,0
52950,0,0
177879,0,0
147168,0,0
221819,0,0
147173,0,0
194283,1,1
190189,0,0
175865,0,0
242836,1,1
46856,0,0
231177,0,0
14104,0,0
155417,0,0
249627,0,0
63264,0,0
147235,0,0
153387,0,0
34608,0,0
16182,0,0
163642,0,0
192318,0,0
175946,0,0
261964,0,0
130897,0,0
42834,0,0
165518,1,1
28506,0,0
155485,0,0
261990,0,0
218992,0,0
196584,0,0
40820,0,0
262006,0,0
114557,0,0
187029,0,0
201991,1,1
62443,0,0
212869,0,0
161671,0,0
167817,1,0
122764,0,0
204687,0,0
94098,0,0
69523,0,0
135064,0,0
202650,0,0
1947,0,0
53152,0,0
22434,0,0
32676,0,0
169893,0,0
57258,0,0
16299,0,0
233392,0,0
231350,0,0
214969,0,0
186299,0,0
221116,0,0
198592,0,0
145348,0,0
212936,0,0
147406,0,0
22480,0,0
182230,0,0
245729,0,0
6114,0,0
120803,0,0
145384,0,0
155625,0,0
135847,1,1
75756,0,0
51195,0,0
147454,0,0
39937,0,0
221197,0,0
154639,0,0
106515,0,0
158244,0,0
206373,0,0
247343,0,0
11313,0,0
129080,0,0
197178,0,0
27195,0,0
12861,0,0
105024,0,0
207941,0,0
77897,0,0
2635,0,0
19023,0,0
196695,0,0
123481,0,0
90203,0,0
149613,0,0
190592,1,1
147074,0,0
204948,0,0
72861,0,0
255136,0,0
237083,0,0
181416,0,0
79018,0,0
113838,0,0
106164,0,0
27838,0,0
262339,0,0
70854,0,0
64722,1,1
151260,0,0
147167,0,0
1259,0,0
39663,1,1
152305,0,0
187638,0,0
122103,0,0
10500,0,0
148230,0,0
147728,0,0
234769,0,0
109842,0,0
151320,0,0
192793,0,0
67883,1,1
117549,0,0
210734,0,0
143664,1,0
260404,0,0
52535,0,0
39741,0,0
87365,0,0
161095,0,0
191819,0,0
142668,0,0
220493,1,1
231249,0,0
209235,0,0
247641,1,0
201563,0,0
10078,0,0
92002,0,0
58213,1,1
13670,0,0
9577,0,0
34671,0,0
24434,0,0
226167,0,0
229760,0,0
130437,1,0
199046,0,0
160657,0,0
156997,0,0
929,0,0
133026,0,0
153003,0,0
258489,0,0
173499,0,0
126908,0,0
108997,0,0
164257,0,0
155594,0,0
233719,0,0
237004,0,0
54743,0,0
160071,0,0
219624,0,0
52716,0,0
23022,0,0
188400,0,0
207016,0,0
186355,0,0
